Category: All categories

Month,financial analyst jobs: (United Kingdom),business analyst jobs: (United Kingdom),data scientist jobs: (United Kingdom),data analyst jobs: (United Kingdom)
2004-01,0,0,0,0
2004-02,0,0,0,0
2004-03,0,0,0,0
2004-04,0,0,0,0
2004-05,0,91,0,0
2004-06,0,45,0,45
2004-07,0,0,0,0
2004-08,0,0,0,0
2004-09,0,0,0,0
2004-10,0,0,0,0
2004-11,0,0,0,0
2004-12,0,41,0,0
2005-01,0,32,0,0
2005-02,0,65,0,33
2005-03,0,57,0,29
2005-04,0,96,0,64
2005-05,0,28,28,0
2005-06,0,28,0,0
2005-07,0,0,0,0
2005-08,0,29,0,29
2005-09,0,25,0,25
2005-10,0,0,0,0
2005-11,46,23,0,0
2005-12,0,25,25,0
2006-01,0,0,0,0
2006-02,0,20,0,0
2006-03,0,0,0,0
2006-04,0,20,0,20
2006-05,17,17,0,0
2006-06,19,19,0,0
2006-07,0,73,0,18
2006-08,0,35,0,18
2006-09,0,17,0,34
2006-10,0,45,0,30
2006-11,0,29,0,29
2006-12,16,0,0,17
2007-01,13,26,0,13
2007-02,0,0,0,27
2007-03,0,24,0,25
2007-04,0,80,0,13
2007-05,0,11,0,0
2007-06,12,12,0,0
2007-07,11,11,0,23
2007-08,0,23,0,12
2007-09,0,33,0,11
2007-10,29,29,0,0
2007-11,0,19,0,9
2007-12,0,33,0,0
2008-01,9,18,0,0
2008-02,10,38,0,19
2008-03,0,19,0,9
2008-04,9,0,0,9
2008-05,9,37,0,0
2008-06,9,9,0,9
2008-07,18,18,0,9
2008-08,0,0,0,19
2008-09,9,9,0,9
2008-10,24,24,0,16
2008-11,0,17,0,17
2008-12,9,0,0,18
2009-01,0,23,0,8
2009-02,8,16,0,0
2009-03,0,7,0,14
2009-04,0,31,0,8
2009-05,7,14,0,7
2009-06,7,28,0,7
2009-07,0,41,0,14
2009-08,14,14,0,14
2009-09,0,33,0,13
2009-10,0,30,0,12
2009-11,18,18,0,18
2009-12,0,26,0,0
2010-01,11,22,0,6
2010-02,0,36,0,18
2010-03,5,65,0,16
2010-04,12,24,0,18
2010-05,6,28,0,6
2010-06,6,30,0,18
2010-07,5,27,0,33
2010-08,6,50,0,17
2010-09,16,47,0,42
2010-10,0,25,0,10
2010-11,5,29,0,25
2010-12,5,11,0,5
2011-01,24,60,0,16
2011-02,4,64,0,13
2011-03,16,27,0,19
2011-04,4,69,4,13
2011-05,11,49,0,8
2011-06,4,32,0,8
2011-07,4,52,0,40
2011-08,4,27,0,16
2011-09,4,58,0,12
2011-10,14,43,0,29
2011-11,0,57,0,28
2011-12,22,52,0,11
2012-01,22,61,0,26
2012-02,17,51,0,20
2012-03,7,37,3,20
2012-04,21,42,3,10
2012-05,17,53,7,23
2012-06,14,48,0,21
2012-07,3,40,0,20
2012-08,17,54,0,3
2012-09,16,63,0,20
2012-10,12,47,0,15
2012-11,15,50,0,15
2012-12,12,25,0,15
2013-01,24,40,3,16
2013-02,6,12,0,15
2013-03,11,30,3,14
2013-04,6,70,3,14
2013-05,16,51,3,19
2013-06,11,51,6,6
2013-07,3,31,0,11
2013-08,0,57,6,23
2013-09,14,67,0,25
2013-10,5,77,0,28
2013-11,5,39,3,21
2013-12,6,41,0,25
2014-01,17,68,5,36
2014-02,25,61,0,25
2014-03,15,43,0,15
2014-04,8,36,5,16
2014-05,8,39,3,36
2014-06,14,78,9,17
2014-07,11,40,11,37
2014-08,6,54,3,17
2014-09,11,52,0,19
2014-10,10,63,5,24
2014-11,3,67,8,19
2014-12,3,42,0,25
2015-01,17,39,10,45
2015-02,5,46,3,38
2015-03,20,58,3,38
2015-04,18,63,0,37
2015-05,5,40,7,27
2015-06,8,49,5,29
2015-07,18,60,5,18
2015-08,5,45,5,35
2015-09,12,60,10,28
2015-10,2,75,7,39
2015-11,12,70,15,49
2015-12,8,55,8,13
2016-01,7,64,7,24
2016-02,20,56,5,28
2016-03,10,74,2,34
2016-04,22,57,17,15
2016-05,7,51,5,31
2016-06,12,47,12,42
2016-07,13,62,8,21
2016-08,8,47,8,14
2016-09,13,56,8,21
2016-10,7,53,12,50
2016-11,10,70,7,32
2016-12,8,54,18,41
2017-01,13,45,16,43
2017-02,8,43,18,40
2017-03,7,63,0,38
2017-04,17,26,10,31
2017-05,12,33,7,31
2017-06,10,66,19,34
2017-07,12,44,10,49
2017-08,16,47,16,40
2017-09,5,67,9,55
2017-10,16,44,16,24
2017-11,5,57,11,25
2017-12,10,48,5,33
2018-01,11,81,21,45
2018-02,17,43,12,41
2018-03,13,48,13,26
2018-04,9,43,16,52
2018-05,9,51,13,42
2018-06,2,52,9,37
2018-07,18,38,9,53
2018-08,7,83,13,40
2018-09,16,51,12,21
2018-10,4,54,18,58
