Category: All categories

Month,financial analyst jobs: (United Kingdom),business analyst jobs: (United Kingdom),data scientist jobs: (United Kingdom)
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,0,0
2004-05,0,91,0
2004-06,0,45,0
2004-07,0,0,0
2004-08,0,0,0
2004-09,0,0,0
2004-10,0,0,0
2004-11,0,0,0
2004-12,0,41,0
2005-01,0,32,0
2005-02,0,65,0
2005-03,0,57,0
2005-04,0,96,0
2005-05,0,28,28
2005-06,0,28,0
2005-07,0,0,0
2005-08,0,29,0
2005-09,0,25,0
2005-10,0,0,0
2005-11,46,23,0
2005-12,0,25,25
2006-01,0,0,0
2006-02,0,20,0
2006-03,0,0,0
2006-04,0,20,0
2006-05,17,17,0
2006-06,19,19,0
2006-07,0,73,0
2006-08,0,35,0
2006-09,0,17,0
2006-10,0,45,0
2006-11,0,29,0
2006-12,16,0,0
2007-01,13,26,0
2007-02,0,0,0
2007-03,0,24,0
2007-04,0,80,0
2007-05,0,11,0
2007-06,12,12,0
2007-07,11,11,0
2007-08,0,23,0
2007-09,0,33,0
2007-10,29,29,0
2007-11,0,19,0
2007-12,0,33,0
2008-01,9,18,0
2008-02,10,38,0
2008-03,0,19,0
2008-04,9,0,0
2008-05,9,37,0
2008-06,9,9,0
2008-07,18,18,0
2008-08,0,0,0
2008-09,9,9,0
2008-10,24,24,0
2008-11,0,17,0
2008-12,9,0,0
2009-01,0,23,0
2009-02,8,16,0
2009-03,0,7,0
2009-04,0,31,0
2009-05,7,14,0
2009-06,7,28,0
2009-07,0,41,0
2009-08,14,14,0
2009-09,0,33,0
2009-10,0,30,0
2009-11,18,18,0
2009-12,0,26,0
2010-01,11,22,0
2010-02,0,36,0
2010-03,5,65,0
2010-04,12,24,0
2010-05,6,28,0
2010-06,6,30,0
2010-07,5,27,0
2010-08,6,50,0
2010-09,16,47,0
2010-10,0,25,0
2010-11,5,29,0
2010-12,5,11,0
2011-01,24,60,0
2011-02,4,64,0
2011-03,16,27,0
2011-04,4,69,4
2011-05,11,49,0
2011-06,4,32,0
2011-07,4,52,0
2011-08,4,27,0
2011-09,4,58,0
2011-10,14,43,0
2011-11,0,57,0
2011-12,22,52,0
2012-01,22,61,0
2012-02,17,51,0
2012-03,7,37,3
2012-04,21,42,3
2012-05,17,53,7
2012-06,14,48,0
2012-07,3,40,0
2012-08,17,54,0
2012-09,16,63,0
2012-10,12,47,0
2012-11,15,50,0
2012-12,12,25,0
2013-01,24,40,3
2013-02,6,12,0
2013-03,11,30,3
2013-04,6,70,3
2013-05,16,51,3
2013-06,11,51,6
2013-07,3,31,0
2013-08,0,57,6
2013-09,14,67,0
2013-10,5,77,0
2013-11,5,39,3
2013-12,6,41,0
2014-01,17,68,5
2014-02,25,61,0
2014-03,15,43,0
2014-04,8,36,5
2014-05,8,39,3
2014-06,14,78,9
2014-07,11,40,11
2014-08,6,54,3
2014-09,11,52,0
2014-10,10,63,5
2014-11,3,67,8
2014-12,3,42,0
2015-01,17,39,10
2015-02,5,46,3
2015-03,20,58,3
2015-04,18,63,0
2015-05,5,40,7
2015-06,8,49,5
2015-07,18,60,5
2015-08,5,45,5
2015-09,12,60,10
2015-10,2,75,7
2015-11,12,70,15
2015-12,8,55,8
2016-01,7,64,7
2016-02,20,56,5
2016-03,10,74,2
2016-04,22,57,17
2016-05,7,51,5
2016-06,12,47,12
2016-07,13,62,8
2016-08,8,47,8
2016-09,13,56,8
2016-10,7,53,12
2016-11,10,70,7
2016-12,8,54,18
2017-01,13,45,16
2017-02,8,43,18
2017-03,7,63,0
2017-04,17,26,10
2017-05,12,33,7
2017-06,10,66,19
2017-07,12,44,10
2017-08,16,47,16
2017-09,5,67,9
2017-10,16,44,16
2017-11,5,57,11
2017-12,10,48,5
2018-01,11,81,21
2018-02,17,43,12
2018-03,13,48,13
2018-04,9,43,16
2018-05,9,51,13
2018-06,2,52,9
2018-07,18,38,9
2018-08,7,83,13
2018-09,16,51,12
2018-10,4,54,18
2018-11,4,65,4
2018-12,2,41,14
2019-01,4,69,17
2019-02,5,89,21
2019-03,9,65,16
2019-04,5,55,14
2019-05,11,76,15
2019-06,16,65,27
2019-07,4,70,17
2019-08,20,78,22
2019-09,13,54,28
2019-10,10,100,14
2019-11,16,64,20
2019-12,10,78,18
2020-01,28,75,17
2020-02,8,83,20
2020-03,10,52,22
2020-04,22,61,24
2020-05,20,77,20
2020-06,19,51,32
2020-07,27,43,25
2020-08,19,61,15
2020-09,17,48,31
2020-10,13,49,23
2020-11,15,44,15
2020-12,6,39,12
2021-01,11,57,26
2021-02,14,64,8
2021-03,10,58,14
2021-04,13,40,11
2021-05,6,59,20
2021-06,6,55,19
2021-07,15,61,19
2021-08,15,43,26
2021-09,18,59,25
2021-10,9,36,13
2021-11,5,34,15
2021-12,5,28,13
2022-01,5,40,25
