Category: All categories

Month,Financial Analyst: (United Kingdom),Business Analyst: (United Kingdom),Data Scientist: (United Kingdom)
2004-01,31,62,0
2004-02,48,81,0
2004-03,39,19,0
2004-04,32,64,0
2004-05,13,81,0
2004-06,27,54,0
2004-07,55,42,0
2004-08,13,40,0
2004-09,12,72,0
2004-10,12,61,0
2004-11,23,59,0
2004-12,0,37,0
2005-01,19,47,0
2005-02,19,10,0
2005-03,51,51,0
2005-04,0,86,0
2005-05,50,42,0
2005-06,17,8,0
2005-07,8,100,0
2005-08,17,60,0
2005-09,15,45,0
2005-10,21,41,0
2005-11,14,68,0
2005-12,7,29,7
2006-01,6,63,0
2006-02,6,73,0
2006-03,21,68,10
2006-04,24,24,0
2006-05,36,42,0
2006-06,22,28,0
2006-07,11,33,0
2006-08,37,47,0
2006-09,10,50,0
2006-10,18,58,4
2006-11,4,43,0
2006-12,15,39,0
2007-01,15,58,0
2007-02,8,65,0
2007-03,18,48,0
2007-04,16,48,0
2007-05,27,57,0
2007-06,17,41,0
2007-07,13,50,0
2007-08,17,69,0
2007-09,13,40,0
2007-10,15,41,0
2007-11,22,37,0
2007-12,13,47,0
2008-01,19,43,0
2008-02,34,40,0
2008-03,11,30,0
2008-04,16,38,0
2008-05,8,60,0
2008-06,31,76,0
2008-07,19,52,0
2008-08,12,43,0
2008-09,16,55,0
2008-10,9,42,0
2008-11,12,32,2
2008-12,16,24,0
2009-01,18,36,0
2009-02,14,45,0
2009-03,13,28,0
2009-04,2,37,0
2009-05,8,31,0
2009-06,8,33,0
2009-07,12,28,2
2009-08,25,64,0
2009-09,8,65,0
2009-10,14,38,0
2009-11,5,41,4
2009-12,4,41,0
2010-01,18,49,0
2010-02,14,45,0
2010-03,19,60,0
2010-04,14,56,4
2010-05,3,44,0
2010-06,16,42,0
2010-07,10,45,0
2010-08,12,60,0
2010-09,16,60,0
2010-10,5,55,0
2010-11,16,43,3
2010-12,10,29,2
2011-01,12,73,0
2011-02,20,59,1
2011-03,12,51,0
2011-04,10,45,3
2011-05,10,49,2
2011-06,16,65,0
2011-07,12,53,0
2011-08,21,52,0
2011-09,22,61,0
2011-10,16,49,1
2011-11,22,43,2
2011-12,12,57,1
2012-01,18,58,2
2012-02,12,57,1
2012-03,12,69,1
2012-04,12,48,3
2012-05,15,57,1
2012-06,18,49,1
2012-07,13,56,2
2012-08,15,57,0
2012-09,14,65,2
2012-10,16,55,1
2012-11,10,55,4
2012-12,19,44,0
2013-01,19,53,2
2013-02,21,63,2
2013-03,10,51,4
2013-04,18,57,2
2013-05,17,71,2
2013-06,15,61,4
2013-07,13,65,4
2013-08,15,62,4
2013-09,20,67,3
2013-10,15,60,3
2013-11,19,58,3
2013-12,9,55,4
2014-01,14,57,3
2014-02,12,88,3
2014-03,18,68,2
2014-04,21,66,2
2014-05,12,50,3
2014-06,14,62,3
2014-07,17,63,12
2014-08,10,69,7
2014-09,9,71,6
2014-10,15,48,3
2014-11,11,76,5
2014-12,8,57,3
2015-01,19,64,6
2015-02,11,79,5
2015-03,13,68,10
2015-04,17,76,8
2015-05,12,64,8
2015-06,13,78,8
2015-07,17,74,10
2015-08,14,70,9
2015-09,12,73,7
2015-10,22,80,10
2015-11,17,79,14
2015-12,11,63,5
2016-01,20,65,12
2016-02,12,83,11
2016-03,12,70,11
2016-04,18,65,15
2016-05,8,43,6
2016-06,13,64,8
2016-07,16,65,14
2016-08,13,62,13
2016-09,11,76,15
2016-10,19,79,17
2016-11,16,75,11
2016-12,12,62,11
2017-01,13,67,11
2017-02,17,66,15
2017-03,15,83,13
2017-04,11,66,11
2017-05,14,63,21
2017-06,8,78,19
2017-07,14,78,12
2017-08,19,63,18
2017-09,16,68,10
2017-10,13,67,12
2017-11,16,69,19
2017-12,14,50,16
2018-01,17,69,16
2018-02,16,75,19
2018-03,14,76,20
2018-04,15,56,23
2018-05,13,69,12
2018-06,8,66,17
2018-07,17,71,17
2018-08,11,73,17
2018-09,18,75,17
2018-10,15,79,19
2018-11,25,64,19
2018-12,13,50,14
2019-01,17,77,20
2019-02,24,96,26
2019-03,12,65,15
2019-04,15,59,20
2019-05,15,70,16
2019-06,17,64,19
2019-07,17,87,27
2019-08,14,84,25
2019-09,18,75,26
2019-10,21,93,24
2019-11,19,66,23
2019-12,18,61,22
2020-01,22,85,39
2020-02,24,83,25
2020-03,15,64,23
2020-04,13,49,21
2020-05,20,72,20
2020-06,18,72,23
2020-07,19,68,23
2020-08,22,65,32
2020-09,25,73,29
2020-10,18,70,30
2020-11,13,71,22
2020-12,15,52,23
2021-01,13,67,27
2021-02,22,72,22
2021-03,27,72,23
2021-04,12,57,21
2021-05,10,57,18
2021-06,10,57,20
2021-07,11,52,16
2021-08,18,56,19
2021-09,14,56,22
2021-10,15,48,21
2021-11,17,54,26
2021-12,16,41,17
2022-01,15,62,25
