Category: All categories

Month,Senior Financial Analyst: (United Kingdom),Senior Business Analyst: (United Kingdom),Senior Data Scientist: (United Kingdom)
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,0,0
2004-05,0,0,0
2004-06,0,0,0
2004-07,0,100,0
2004-08,0,0,0
2004-09,0,0,0
2004-10,0,88,0
2004-11,0,0,0
2004-12,0,0,0
2005-01,0,0,0
2005-02,0,0,0
2005-03,0,0,0
2005-04,0,0,0
2005-05,0,0,0
2005-06,0,0,0
2005-07,0,0,0
2005-08,0,0,0
2005-09,0,0,0
2005-10,0,0,0
2005-11,0,0,0
2005-12,0,0,0
2006-01,0,0,0
2006-02,0,0,0
2006-03,0,0,0
2006-04,0,0,0
2006-05,0,0,0
2006-06,0,0,0
2006-07,0,0,0
2006-08,0,0,0
2006-09,0,0,0
2006-10,32,0,0
2006-11,0,0,0
2006-12,0,0,0
2007-01,0,0,0
2007-02,0,0,0
2007-03,0,0,0
2007-04,0,0,0
2007-05,0,49,0
2007-06,0,25,0
2007-07,0,0,0
2007-08,0,0,0
2007-09,0,0,0
2007-10,21,0,0
2007-11,20,0,0
2007-12,0,0,0
2008-01,0,59,0
2008-02,0,0,0
2008-03,20,0,0
2008-04,0,0,0
2008-05,0,20,0
2008-06,0,0,0
2008-07,0,20,0
2008-08,21,0,0
2008-09,19,0,0
2008-10,0,0,0
2008-11,0,0,0
2008-12,0,0,0
2009-01,0,0,0
2009-02,0,0,0
2009-03,0,0,0
2009-04,0,0,0
2009-05,15,0,0
2009-06,0,0,0
2009-07,0,0,0
2009-08,0,0,0
2009-09,0,0,0
2009-10,0,13,0
2009-11,0,13,0
2009-12,0,0,0
2010-01,0,12,0
2010-02,0,0,0
2010-03,0,23,0
2010-04,0,0,0
2010-05,0,0,0
2010-06,0,0,0
2010-07,0,0,0
2010-08,0,12,0
2010-09,0,0,0
2010-10,0,33,0
2010-11,0,0,0
2010-12,0,0,0
2011-01,0,9,0
2011-02,0,0,0
2011-03,0,8,0
2011-04,0,9,0
2011-05,0,8,0
2011-06,9,0,0
2011-07,0,9,0
2011-08,0,42,0
2011-09,0,0,0
2011-10,0,8,0
2011-11,0,8,0
2011-12,0,8,0
2012-01,0,21,0
2012-02,7,7,0
2012-03,7,0,0
2012-04,7,30,0
2012-05,7,7,0
2012-06,0,22,0
2012-07,0,14,0
2012-08,0,14,0
2012-09,0,14,0
2012-10,13,6,0
2012-11,6,25,0
2012-12,7,20,0
2013-01,6,0,6
2013-02,7,13,0
2013-03,0,18,0
2013-04,0,0,0
2013-05,0,0,0
2013-06,0,12,0
2013-07,0,31,0
2013-08,0,25,0
2013-09,18,12,0
2013-10,0,6,0
2013-11,0,6,0
2013-12,0,18,0
2014-01,5,5,5
2014-02,0,24,0
2014-03,0,5,0
2014-04,11,22,0
2014-05,6,28,0
2014-06,6,12,0
2014-07,12,12,0
2014-08,6,12,0
2014-09,6,18,0
2014-10,6,11,0
2014-11,12,12,0
2014-12,0,6,6
2015-01,5,11,0
2015-02,0,29,0
2015-03,0,5,5
2015-04,6,17,0
2015-05,5,16,0
2015-06,0,22,6
2015-07,11,27,5
2015-08,0,27,0
2015-09,0,11,0
2015-10,5,26,5
2015-11,5,31,5
2015-12,0,5,0
2016-01,0,15,0
2016-02,0,33,0
2016-03,0,0,0
2016-04,0,11,0
2016-05,5,10,0
2016-06,5,21,0
2016-07,6,22,11
2016-08,6,12,0
2016-09,11,17,6
2016-10,5,5,0
2016-11,5,11,0
2016-12,5,11,0
2017-01,10,19,0
2017-02,0,16,0
2017-03,0,15,5
2017-04,5,21,0
2017-05,0,15,10
2017-06,5,32,0
2017-07,0,10,5
2017-08,5,20,0
2017-09,15,15,0
2017-10,0,24,0
2017-11,19,15,0
2017-12,10,21,10
2018-01,0,14,5
2018-02,0,5,10
2018-03,5,14,0
2018-04,15,19,15
2018-05,10,19,5
2018-06,5,25,5
2018-07,5,10,14
2018-08,0,39,5
2018-09,5,25,5
2018-10,14,29,0
2018-11,5,24,5
2018-12,0,21,5
2019-01,5,14,9
2019-02,5,21,0
2019-03,19,14,0
2019-04,5,20,15
2019-05,19,9,9
2019-06,10,29,5
2019-07,0,9,0
2019-08,5,14,5
2019-09,0,9,14
2019-10,4,34,0
2019-11,0,17,0
2019-12,4,26,0
2020-01,8,24,16
2020-02,8,17,13
2020-03,4,26,7
2020-04,11,15,15
2020-05,4,7,4
2020-06,7,18,0
2020-07,15,27,4
2020-08,16,16,8
2020-09,8,25,12
2020-10,4,8,4
2020-11,12,16,0
2020-12,0,8,13
2021-01,12,43,0
2021-02,9,49,0
2021-03,13,29,12
2021-04,0,28,18
2021-05,4,13,9
2021-06,5,18,14
2021-07,5,14,14
2021-08,5,5,5
2021-09,5,39,5
2021-10,10,14,3
2021-11,0,7,7
2021-12,4,4,7
2022-01,7,14,0
